"Iteration","Method","TPR","FPR","MSE","Random_TPR","Random_FPR","gamma_mspe","opt_lambda_fixed","opt_lambda_random","re_var_x2","re_var_x3","glmmTMB_signal_collapse","Seed","glmmTMB_collapsed_vars"
10,"glmmTMB",0.666666666666667,0.4,0.0320832050922788,NA,NA,0.063645538662394,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
10,"Lin",0.666666666666667,0,0.0284687890874938,1,0.5,0.0595783147354975,2.5,2.5,0,0.00369952454496846,NA,67890,NA
10,"Bondell",1,0,0.0192256683848889,1,0.5,0.0459029325326563,0.4,0.4,0,0.0137871213970232,NA,67890,NA
11,"glmmTMB",1,0.8,0.00458688670760473,NA,NA,0.0230010048435684,1.22508372483069,NA,NA,NA,FALSE,67890,""
11,"Lin",1,0,0.00417637754175397,1,0,0.0229486337913514,1,2.5,0,0,NA,67890,NA
11,"Bondell",1,0.4,0.00465607411,1,0,0.0235189640712876,0.4,0.4,0,0,NA,67890,NA
12,"glmmTMB",1,1,0.0023209389328058,NA,NA,0.0209247836111632,1.22508372483069,NA,NA,NA,FALSE,67890,""
12,"Lin",1,0,0.00416718659056252,1,0,0.0285506767052048,2.5,0.1,-0.00490386747237205,-0.000279068264342648,NA,67890,NA
12,"Bondell",1,0.2,0.00160551028077778,1,0.5,0.019708441756242,0.4,0.4,0.0027972187326186,0,NA,67890,NA
13,"glmmTMB",1,1,0.00340588677912428,NA,NA,0.0214922015368773,0.001,NA,NA,NA,FALSE,67890,""
13,"Lin",0.666666666666667,0,0.0288840490005851,1,0,0.0690319809191606,10,1,0,0,NA,67890,NA
13,"Bondell",1,0.2,0.000855145090777778,1,0,0.0202739050755643,0.4,0.4,0,0,NA,67890,NA
14,"glmmTMB",1,1,0.0347361032880879,NA,NA,0.0949706007799309,6.11816872991646,NA,NA,NA,FALSE,67890,""
14,"Lin",0.666666666666667,0,0.0284509132396142,1,0.5,0.0862267733735111,2.5,0.5,0.00911295252998241,-0.000432321922251003,NA,67890,NA
14,"Bondell",0.666666666666667,0.2,0.0304064158167778,1,0.5,0.0846278051827592,0.4,0.4,0.00249532923598063,0,NA,67890,NA
15,"glmmTMB",1,1,0.00895174345642788,NA,NA,0.0598391198932022,1.22508372483069,NA,NA,NA,FALSE,67890,""
15,"Lin",1,0,0.00247116002613592,1,1,0.036564562758368,2.5,0.1,0.00698423832012745,0.0012452385903543,NA,67890,NA
15,"Bondell",1,0.2,0.000633154287888889,1,0.5,0.0322891762501325,0.4,0.4,0,0.00266262051528776,NA,67890,NA
16,"glmmTMB",1,1,0.0483111131125628,NA,NA,0.105009662615822,6.11816872991646,NA,NA,NA,FALSE,67890,""
16,"Lin",0.666666666666667,0,0.0284991500452279,1,0.5,0.0702100233430145,5,2.5,0,0.000266081482650731,NA,67890,NA
16,"Bondell",0.666666666666667,0.2,0.0385416672994445,1,1,0.0911386215078081,0.4,0.4,0.00220042795772984,0.00853757696136907,NA,67890,NA
17,"glmmTMB",1,1,0.00575072096222373,NA,NA,0.0258298148665567,1.22508372483069,NA,NA,NA,FALSE,67890,""
17,"Lin",1,0.4,0.000654596975588981,1,0,0.0179108748701442,2.5,2.5,0,0,NA,67890,NA
17,"Bondell",1,0.4,0.000551477692333333,1,0,0.0175557599966152,0.4,0.4,0,0,NA,67890,NA
18,"glmmTMB",0.666666666666667,0.8,0.046880383870146,NA,NA,0.137102641816498,20.6184125759897,NA,NA,NA,TRUE,67890,"x1"
18,"Lin",0.666666666666667,0,0.0284409979322828,1,0.5,0.104966346448401,10,0.1,0.0205469827238959,-0.00242819426526822,NA,67890,NA
18,"Bondell",0.666666666666667,0.2,0.0392256447071111,1,0.5,0.127701079634448,0.4,0.4,0.0108603246781552,0,NA,67890,NA
19,"glmmTMB",1,1,0.00303348621735217,NA,NA,0.0261215133299855,0.001,NA,NA,NA,FALSE,67890,""
